City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
480,tangalle,6.024,80.7911,25.06,90,99,3.89,LK,1722554567
481,leninskoye,41.7589,69.3864,27.81,26,24,2.19,KZ,1722554568
482,al kharj,24.155,47.3346,33.32,13,9,4.2,SA,1722554569
483,puerto colombia,10.9878,-74.9547,25.05,81,99,5.95,CO,1722554570
484,noosa heads,-26.3833,153.15,16.85,61,1,4.6,AU,1722554571
485,kralendijk,12.15,-68.2667,28.99,79,0,8.75,BQ,1722554573
486,jiwani,25.05,61.7417,27.93,84,100,4.17,PK,1722554438
487,belchatow,51.3688,19.3567,18.23,54,60,3.21,PL,1722554575
488,tutoia,-2.7619,-42.2744,26.02,76,12,5.32,BR,1722554576
489,tual,-5.6667,132.75,25.3,86,85,9.83,ID,1722554107
490,dryden,49.7833,-92.7503,29.16,37,0,4.63,CA,1722554578
491,suleja,9.1758,7.1808,24.55,97,97,1.28,NG,1722554580
492,tweed heads,-28.1817,153.547,17.22,57,0,5.66,AU,1722554581
493,okha,53.5739,142.9478,14.44,87,98,4.48,RU,1722554582
494,magadan,59.5667,150.8,9.02,92,100,5.94,RU,1722554583
495,tanushimarumachi-toyoki,33.35,130.6833,31.73,74,0,1.31,JP,1722554584
496,solhan,38.9634,41.0293,19.51,38,0,1.26,TR,1722554585
497,novospasskoye,53.1468,47.7514,14.38,73,39,2.91,RU,1722554587
498,plastun,44.7561,136.2939,25.91,86,100,0.58,RU,1722554588
499,westport,41.1415,-73.3579,30.23,69,0,5.14,US,1722554450
500,chegdomyn,51.1167,133.0167,18.67,84,100,0.51,RU,1722554590
501,serdar,38.9764,56.2757,28.16,60,2,5.13,TM,1722554591
502,holualoa,19.6228,-155.9522,26.91,73,100,4.63,US,1722554592
503,ola,59.5833,151.2833,9.47,90,100,6.37,RU,1722554463
504,greenville,35.6127,-77.3663,33.97,64,0,1.54,US,1722554022
505,adam,22.3756,57.5233,32.54,44,100,1.81,OM,1722554596
506,kristiansund,63.1115,7.732,13.03,86,28,1.03,NO,1722554597
507,sosnovo-ozerskoye,52.5249,111.5418,15.78,47,97,1.43,RU,1722554598
508,gargalianoi,37.0667,21.6333,25.75,65,0,3.54,GR,1722554599
509,oeiras,-7.0253,-42.1311,27.34,43,0,4.32,BR,1722554601
510,kongsvinger,60.1905,11.9977,13.37,82,26,1.37,NO,1722554432
511,revda,56.801,59.9303,12.13,97,48,1.59,RU,1722554115
512,fort mcmurray,56.7268,-111.381,25.77,33,75,4.12,CA,1722554604
513,ixtapa,20.7,-105.2,31.57,55,100,4.12,MX,1722554605
514,dadiya,9.6167,11.4333,22.76,93,100,1.64,NG,1722554607
515,beloyarskiy,63.7119,66.6722,13.43,88,65,2.79,RU,1722554608
516,kalmunai,7.4167,81.8167,27.24,75,100,2.54,LK,1722554609
517,mbandjok,4.45,11.9,20.09,99,85,1.98,CM,1722554610
518,aykhal,66.0,111.5,12.07,48,5,2.28,RU,1722554611
519,mir bachah kot,34.75,69.119,21.58,35,0,1.78,AF,1722554614
520,strelka,58.0728,93.0344,14.65,96,72,1.2,RU,1722554615
521,kota kinabalu,5.9749,116.0724,26.99,83,20,2.06,MY,1722554431
